date,count_above_1M
2021-06-10,13
2021-06-11,13
2021-06-12,13
2021-06-13,14
2021-06-14,14
2021-06-15,14
2021-06-16,14
2021-06-17,14
2021-06-18,14
2021-06-19,14
2021-06-20,14
2021-06-21,14
2021-06-22,14
2021-06-23,14
2021-06-24,14
2021-06-25,14
2021-06-26,14
2021-06-27,14
2021-06-28,14
2021-06-29,14
2021-06-30,14
2021-07-01,14
2021-07-02,14
2021-07-03,14
2021-07-04,14
2021-07-05,14
2021-07-06,14
2021-07-07,14
2021-07-08,14
2021-07-09,14
2021-07-10,14
2021-07-11,14
2021-07-12,14
2021-07-13,14
2021-07-14,14
2021-07-15,14
2021-07-16,14
2021-07-17,14
2021-07-18,14
2021-07-19,14
2021-07-20,14
2021-07-21,14
2021-07-22,14
2021-07-23,14
2021-07-24,14
2021-07-25,14
2021-07-26,14
2021-07-27,14
2021-07-28,14
2021-07-29,14
2021-07-30,14
2021-07-31,14
2021-08-01,14
2021-08-02,14
2021-08-03,14
2021-08-04,14
2021-08-05,14
2021-08-06,14
2021-08-07,14
2021-08-08,14
2021-08-09,14
2021-08-10,14
2021-08-11,14
2021-08-12,14
2021-08-13,14
2021-08-14,14
2021-08-15,14
2021-08-16,14
2021-08-17,14
2021-08-18,14
2021-08-19,14
2021-08-20,14
2021-08-21,14
2021-08-22,14
2021-08-23,14
2021-08-24,14
2021-08-25,14
2021-08-26,14
2021-08-27,14
2021-08-28,14
2021-08-29,14
2021-08-30,14
2021-08-31,14
2021-09-01,14
2021-09-02,14
2021-09-03,14
2021-09-04,14
2021-09-05,14
2021-09-06,14
2021-09-07,14
2021-09-08,14
2021-09-09,14
2021-09-10,14
2021-09-11,14
2021-09-12,14
2021-09-13,14
2021-09-14,14
2021-09-15,14
2021-09-16,14
2021-09-17,14
2021-09-18,14
2021-09-19,14
2021-09-20,14
2021-09-21,14
2021-09-22,14
2021-09-23,14
2021-09-24,14
2021-09-25,14
2021-09-26,14
2021-09-27,14
2021-09-28,14
2021-09-29,14
2021-09-30,14
2021-10-01,14
2021-10-02,14
2021-10-03,14
2021-10-04,14
2021-10-05,14
2021-10-06,14
2021-10-07,14
2021-10-08,14
2021-10-09,14
2021-10-10,14
2021-10-11,14
2021-10-12,14
2021-10-13,14
2021-10-14,14
2021-10-15,14
2021-10-16,14
2021-10-17,14
2021-10-18,14
2021-10-19,14
2021-10-20,14
2021-10-21,14
2021-10-22,14
2021-10-23,14
2021-10-24,14
2021-10-25,14
2021-10-26,14
2021-10-27,14
2021-10-28,14
2021-10-29,14
2021-10-30,14
2021-10-31,14
2021-11-01,14
2021-11-02,14
2021-11-03,14
2021-11-04,14
2021-11-05,14
2021-11-06,14
2021-11-07,14
2021-11-08,14
2021-11-09,14
2021-11-10,14
2021-11-11,14
2021-11-12,14
2021-11-13,14
2021-11-14,14
2021-11-15,14
2021-11-16,14
2021-11-17,14
2021-11-18,14
2021-11-19,14
2021-11-20,14
2021-11-21,14
2021-11-22,14
2021-11-23,14
2021-11-24,14
2021-11-25,14
2021-11-26,14
2021-11-27,14
2021-11-28,14
2021-11-29,14
2021-11-30,14
2021-12-01,14
2021-12-02,14
2021-12-03,14
2021-12-04,14
2021-12-05,14
2021-12-06,14
2021-12-07,14
2021-12-08,14
2021-12-09,14
2021-12-10,14
2021-12-11,14
2021-12-12,14
2021-12-13,14
2021-12-14,14
2021-12-15,14
2021-12-16,14
2021-12-17,14
2021-12-18,14
2021-12-19,14
2021-12-20,14
2021-12-21,14
2021-12-22,14
2021-12-23,14
2021-12-24,14
2021-12-25,14
2021-12-26,14
2021-12-27,14
2021-12-28,14
2021-12-29,14
2021-12-30,14
2021-12-31,14
2022-01-01,14
2022-01-02,14
2022-01-03,14
2022-01-04,35
2022-01-05,31
2022-01-06,31
2022-01-07,33
2022-01-08,35
2022-01-09,66
2022-01-10,91
2022-01-11,93
2022-01-12,98
2022-01-13,101
2022-01-14,104
2022-01-15,104
2022-01-16,104
2022-01-17,105
2022-01-18,112
2022-01-19,112
2022-01-20,112
2022-01-21,116
2022-01-22,116
2022-01-23,117
2022-01-24,120
2022-01-25,121
2022-01-26,122
2022-01-27,122
2022-01-28,125
2022-01-29,125
2022-01-30,125
2022-01-31,129
2022-02-01,133
2022-02-02,133
2022-02-03,133
2022-02-04,135
2022-02-05,135
2022-02-06,135
2022-02-07,136
